stock_id,roc_year,roc_month,announce_date,verdict,note
1611,109,7,2020-08-05,claude,MoneyDJ 標題三要素齊全(公司名+109年7月+營收1.83億)；revenue/yoy 都解析成功且與標題一致；工作日
2450,114,6,2025-07-07,claude,"標題含營收明細表「本月 2475,6…」與 revenue=2476000000 對得上 這是最強的一種佐證；工作日"
2482,114,6,2025-07-04,claude,MoneyDJ 標題三要素齊全；工作日
2524,109,9,2020-10-08,claude,玉山證券即時新聞標題完整(公司名+109年9月+營收8.60億)；與 revenue/yoy 一致
2701,111,6,2022-07-08,claude,Yahoo【公告】格式完整(公司名+2022年6月+合併營收1985.9萬)；與 revenue/yoy 一致
2906,110,12,2022-01-10,claude,google 重抓（原抓到高林股(1531)）。title「【公告】高林2021年12月合併營收8.03億元年增22.39%」；url slug 對上；日期正好是慣用日 10 號
3266,110,9,2021-10-07,claude,google 重抓（原抓到昇陽半導體(8028)）。title「【公告】昇陽2021年9月合併營收4715萬元年增-91.69%單位：仟元」；url slug 對上；日期在慣用日 9 號旁
3583,109,5,2020-06-09,claude,Yahoo【公告】格式完整；日期等於慣用日 9 號；與 revenue/yoy 一致
4113,109,4,2020-05-08,claude,google 重抓（原抓到聯上發(2537)）。title「【公告】聯上2020年4月合併營收5164.8萬元年增-54.18%」；url slug 逐字對上「公告-聯上-2020年4月合併營收5164-8萬元」；revenue/yoy 與標題一致。5/8 比慣用日 10 號早 2 天 但公告內容無歧義
4113,109,8,2020-09-10,claude,"google 重抓（原抓到聯上發(2537)）。title 帶明細表「當月/本年累計 ; 營收, 110, 126,299」與 revenue=110000 對得上；MoneyDJ 原文連結；日期等於慣用日 10 號"
5272,114,10,2025-11-05,claude,MoneyDJ 標題三要素齊全；日期等於慣用日 5 號
6136,110,12,2022-01-10,claude,MoneyDJ 標題三要素齊全；日期正好是該檔慣用日 10 號(71 筆)；工作日
6174,110,6,2021-07-09,claude,yahoo 重抓（原 google 抓到安碁資訊(6690) 的 2021-07-05）。title「安碁 110年6月營收4323萬、年增28.56%-MoneyDJ理財網」三要素齊全；revenue=43230000/yoy=28.56 與標題一致；url 為 MoneyDJ 原文可查證
8433,114,6,2025-07-09,claude,MoneyDJ 標題三要素齊全；日期等於慣用日 9 號
1101,109,1,2020-02-10,claude,MoneyDJ「台泥 109年1月營收75.02億、年減20.14%」，標題內含時戳 2020/02/10 16:06 與 announce_date 逐字相符；rev=7502000000 對上 75.02億；日期＝慣用日 10 號
1101,109,2,2020-03-10,claude,MoneyDJ「台泥 109年2月營收50.01億、年減1.66%」；rev=5001000000 對上；3/10 為慣用日、工作日
1101,109,3,2020-04-10,claude,MoneyDJ「台泥 109年3月營收94.73億、年減12.91%」；rev=9473000000 對上；4/10 為慣用日
1101,109,4,2020-05-08,claude,MoneyDJ「台泥 109年4月營收102.17億、年減3.58%」；rev=10217000000 對上；5/8 比慣用日早 2 天 但 5/10 為週日 順延前置合理
1101,109,5,2020-06-10,claude,標題內含時戳 2020/06/10 14:53 與 announce_date 相符；「109年5月營收102.86億」對上 rev=10286000000
1101,109,6,2020-07-10,claude,MoneyDJ「台泥 109年6月營收99.61億、年增0.96%」；rev=9961000000 對上；7/10 為慣用日
1101,109,7,2020-08-07,claude,"含公開資訊觀測站明細表「當月/本年累計 ; 營收, 10,178,622」＝101.79億 對上 rev；8/7 早於慣用日 3 天 但表格格式權威"
1101,109,8,2020-09-10,claude,MoneyDJ「109年8月營收98.85億、年減3.36%」；rev=9885000000 對上；9/10 為慣用日
1101,109,9,2020-10-12,claude,MoneyDJ「109年9月營收97.45億」；rev=9745000000 對上；10/12 晚 2 天 因 10/10 國慶連假順延
1101,109,10,2020-11-10,claude,MoneyDJ「109年10月營收102.94億、年減8.19%」；rev=10294000000 對上；11/10 為慣用日
1101,109,11,2020-12-10,claude,MoneyDJ「109年11月營收108.90億、年減6.76%」；rev=10890000000 對上
1101,109,12,2021-01-08,claude,MoneyDJ「109年12月營收109.33億、年減11.33%」；rev=10933000000 對上；1/8 早 2 天 1/10 為週日
1101,110,1,2021-02-08,claude,中央社【公告】「台泥2021年1月合併營收85.96億元年增14.58%」；rev=8596000000 對上；2/8 早於慣用日 2 天
1101,110,2,2021-03-09,claude,MoneyDJ「110年2月營收45.37億、年減9.28%」；rev=4537000000 對上
1101,110,3,2021-04-09,claude,MoneyDJ「110年3月營收97.80億、年增12.76%」；rev=9780000000 對上；4/10 為週六故 4/9 前置
1101,110,4,2021-05-10,claude,MoneyDJ「110年4月營收96.72億、年減1.69%」；rev=9672000000 對上；5/10 為慣用日
1101,110,6,2021-07-09,claude,"明細表「營收, 8,480,821」＝84.81億 對上 rev=8481000000；7/10 為週六故 7/9 前置"
1101,110,7,2021-08-09,claude,中央社【公告】「2021年7月合併營收83.2億元年增-11.41%」；rev=8320000000 對上
1101,110,8,2021-09-10,claude,MoneyDJ「110年8月營收89.64億、年減2.63%」；rev=8964000000 對上
1101,110,9,2021-10-12,claude,MoneyDJ「110年9月營收95.98億、年增6.23%」；rev=9598000000 對上；10/10~11 國慶連假故順延至 12 日
1101,110,10,2021-11-10,claude,MoneyDJ「110年10月營收95.65億、年增1.04%」；rev=9565000000 對上
1101,110,11,2021-12-10,claude,MoneyDJ「110年11月營收97.53億、年減1.54%」；rev=9753000000 對上
1101,110,12,2022-01-10,claude,MoneyDJ「110年12月營收108.21億、年增7.08%」；rev=10821000000 對上
1101,111,1,2022-02-10,claude,中央社【公告】「台泥2022年1月合併營收75.18億元年增-7.01%」；rev=7518000000 對上
